name,lat,lon,region,tortuosity_ratio,horizon_exposure,enclosedness_rays,enclosedness_combined,flushing_rate
CA-C-042,36.6268,-121.95,CA-C,1.4200339363635457,0.3333333333333333,0.6666666666666667,0.4383418174242198,0.46247680058335083
CA-C-064,36.4732,-121.9429,CA-C,1.7283250304566937,0.4861111111111111,0.5138888888888888,0.43902570205861785,0.4619502094148642
CA-C-065,36.4515,-121.9343,CA-C,1.481991236740717,0.4861111111111111,0.5138888888888888,0.3774422536296237,0.5093694647051897
CA-C-066,36.4265,-121.9213,CA-C,1.5001715996367406,0.4722222222222222,0.5277777777777778,0.38893178879807405,0.5005225226254829
CA-C-067,36.3931,-121.9081,CA-C,1.3798339421468762,0.4305555555555556,0.5694444444444444,0.37968070775894125,0.5076458550256153
CA-C-068,36.3685,-121.9096,CA-C,1.3311159289213288,0.4861111111111111,0.5138888888888888,0.3397234266747766,0.5384129614604221
CA-C-069,36.3357,-121.8986,CA-C,1.3969774408491251,0.4444444444444444,0.5555555555555556,0.37702213799005907,0.5096929537476544
CA-C-070,36.3041,-121.9074,CA-C,1.3073353056250705,0.5833333333333334,0.41666666666666663,0.28516715973960094,0.5804212870005073
CA-C-071,36.254,-121.8449,CA-C,1.2324710802909056,0.5,0.5,0.3081177700727264,0.5627493170440007
CA-C-072,36.2241,-121.7896,CA-C,1.250775224037615,0.4305555555555556,0.5694444444444444,0.347416028231626,0.532489658261648
CA-C-073,36.1903,-121.7275,CA-C,1.2575279044309733,0.4444444444444444,0.5555555555555556,0.3421597538855211,0.5365369895081488
CA-C-075,36.0966,-121.6269,CA-C,1.1858505466133844,0.4444444444444444,0.5555555555555556,0.3242404144311239,0.5503348808880346
CA-C-076,36.0452,-121.5953,CA-C,1.1739679561965022,0.4722222222222222,0.5277777777777778,0.30738087793801444,0.5633167239877288
CA-C-077,36.0111,-121.5545,CA-C,1.161110651059801,0.4583333333333333,0.5416666666666667,0.31111099609828363,0.5604445330043216
CA-C-079,35.881,-121.4693,CA-C,1.1289663893620467,0.4861111111111111,0.5138888888888888,0.2891860417849561,0.5773267478255839
